t,x,y
6.0,59.61319889161574,46.00970313561938
6.036024016010674,59.64527173785045,46.02619936676501
6.072048032021348,59.67741521528453,46.04257326095126
6.108072048032021,59.709629365063876,46.05882474691125
6.144096064042695,59.74191422007771,46.07495376767912
6.180120080053369,59.77426980493684,46.09096028062765
6.216144096064043,59.80669613595285,46.10684425750435
6.252168112074717,59.83919322111816,46.122605684465874
6.28819212808539,59.87176106008717,46.138244562110856
6.324216144096064,59.90439964415818,46.15376090551109
6.360240160106738,59.93710895625639,46.16915474424104
6.396264176117412,59.96988897091776,46.184426122405746
6.432288192128086,60.00273965427389,46.199575098667076
6.468312208138759,60.03566096403783,46.21460174626824
6.504336224149433,60.068652849490846,46.22950615305676
6.540360240160107,60.10171525147019,46.244288421505665
6.576384256170781,60.13484810235778,46.25894866873301
6.6124082721814545,60.16805132606991,46.27348702651977
6.648432288192128,60.201324838047924,46.28790364132601
6.684456304202802,60.23466854524986,46.302198674305316
6.7204803202134755,60.26808234614307,46.31637230131759
6.7565043362241495,60.30156613069783,46.33042471294009
6.792528352234823,60.33511978038199,46.34435611447677
6.8285523682454965,60.36874316815651,46.3581667259659
6.8645763842561704,60.40243615847214,46.371856782185986
6.900600400266844,60.43619860726692,46.3854265326599
6.936624416277518,60.47003036196483,46.39887624165733
6.972648432288192,60.50393126147539,46.41220618819551
7.008672448298865,60.53790113619421,46.42541666603817
7.044696464309539,60.57193980800466,46.4385079836927
7.080720480320213,60.60604709028042,46.451480464405705
7.116744496330887,60.64022278788917,46.464334446156656
7.152768512341561,60.67446669719718,46.47707028164992
7.188792528352234,60.708778606074986,46.4896883383049
7.224816544362908,60.743158293904045,46.50218899824454
7.260840560373582,60.77760553158442,46.51457265828199
7.296864576384256,60.8121200815435,46.52683972990553
7.33288859239493,60.8467016977457,46.53899063926178
7.368912608405603,60.88135012570322,46.55102582713702
7.404936624416278,60.91606510248779,46.56294574893685
7.440960640426951,60.950846356743476,46.57475087466405
7.476984656437625,60.98569360870049,46.586441688894645
7.513008672448299,61.020606570189976,46.59801869075227
7.549032688458972,61.05558494465995,46.609482393880604
7.585056704469647,61.0906284271921,46.62083332641422
7.62108072048032,61.12573670451973,46.63207203094753
7.657104736490994,61.160909455046706,46.64319906450203
7.693128752501668,61.19614634886735,46.654214998491696
7.729152768512341,61.23144704778749,46.665120418686676
7.765176784523016,61.26681120534641,46.67591592517518
7.801200800533689,61.3022384668399,46.686602132323586
7.837224816544363,61.33772846934432,46.69717966873479
7.873248832555037,61.37328084174162,46.707649177204786
7.909272848565711,61.40889520474549,46.71801131467745
7.945296864576385,61.44457117092847,46.728266752197584
7.981320880587058,61.480308344750036,46.73841617486219
8.01734489659773,61.516106322585806,46.74846028176998
8.053368912608406,61.55196469275771,46.758399785969075
8.089392928619079,61.587883035565135,46.76823541440304
8.125416944629754,61.62386092331718,46.777967907855064
8.161440960640427,61.659897920365836,46.787598020890435
8.197464976651101,61.69599358314024,46.79712652179729
8.233488992661774,61.7321474601819,46.806554192525525
8.269513008672448,61.76835909218092,46.81588182862406
8.305537024683122,61.80462801201332,46.82511023917627
